OA11CD,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,Total_Population_census,Total_Households_census,Total_Population_16_and_over_census,Total_Population_16_to_74_census,Total_Population_3_and_over_census,RM2018_01,RM2018_02,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_07,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_32,RM2018_33,RM2018_34,RM2018_35,RM2018_36,RM2018_40,RM2018_41,RM2018_42,RM2018_43
E00000319,346,125,264,229,331,60,280,125,225,182,270,23,56,95,43,60,6,0,183,67,4,2,10,4,63,2,26,87,19,29,20,34,14,6,3,56,54,15,0,118.7220129,28,67,17,37,8,4,43,7
E00000320,440,140,325,305,422,75,409,137,288,261,389,34,72,121,55,49,2,0,175,84,17,8,18,16,96,7,36,80,30,45,22,11,17,10,3,102,0,37,0,77.66726912,42,103,24,66,6,8,9,2
E00000321,306,128,236,209,297,48,291,123,238,196,277,18,49,97,34,44,4,0,163,53,9,16,2,3,42,7,23,91,27,23,15,20,29,10,3,58,50,19,0,142.3073732,26,62,14,45,9,7,30,8
E00000322,361,132,257,242,347,74,321,129,241,218,297,26,72,111,39,35,0,0,171,71,12,15,11,6,54,3,37,87,28,33,15,16,28,11,1,66,36,30,0,117.9579122,27,76,25,39,6,8,27,6
E00000323,265,126,220,189,262,38,242,126,194,152,233,7,36,63,50,54,6,0,153,50,7,0,11,1,34,0,14,101,23,18,9,47,22,4,2,39,78,9,0,160.2954113,21,59,16,30,2,2,61,7
E00000324,374,154,279,238,361,66,312,147,240,191,295,25,62,88,42,67,10,0,210,39,5,12,29,7,55,9,26,109,21,30,22,45,21,14,1,52,56,43,0,170.4047539,27,62,17,29,17,7,60,7
E00000325,374,136,280,256,363,74,321,132,241,221,304,22,67,105,58,44,3,0,202,62,16,8,3,14,49,7,33,89,31,36,17,17,24,9,1,71,38,27,0,99.42166881,38,78,21,43,8,12,27,19
E00000326,392,157,285,262,370,75,380,153,285,246,353,34,70,120,59,38,1,0,154,86,4,9,8,15,91,1,33,93,25,34,15,15,38,24,2,77,11,64,0,97.11530228,36,94,18,68,11,7,23,10
E00000327,338,135,217,213,314,77,320,133,218,215,291,46,70,122,34,13,0,0,165,30,4,5,13,10,73,19,26,73,17,32,5,7,44,30,0,18,106,11,0,60.67467344,18,95,17,25,10,2,44,19
E00000328,387,139,251,247,357,93,368,140,237,230,338,40,85,126,42,14,0,0,181,31,0,9,15,8,123,13,36,68,19,42,3,6,40,24,4,13,117,9,0,78.21275196,21,88,22,32,9,2,49,21
