"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"RM108RR",0.712978167670949,0.787693501521762,0.749356004133189,0.761384186265894,0.693240087820137,0,0.872162482040088,0.781018195087949,0,0.606390174207154,0,0.322124294165747,0.641713873650895,0,0.869190749333675,0.920197000345411,0.668378739176557,0.626352007586095,0.572247239464096,0.718250142125869,0.676114556867356,0.692196515402098,0,0.84858526853224,0.731806331827928,0.779207022858791,0,0.496265401690658,0,0.684902474076964,0.565879428584727,1
"RM108RS",0.659718241905108,0.740060823192604,0.776463378754595,0.755004530281521,0.549495783302702,0,0.893732430924609,0.228727249012843,0,0.358882993166981,0,0.293411597830912,0.840912947988672,0.415656531864135,0.79268754492734,0.923479112156337,0.772811936598714,0.661991325345404,0.565879428584727,0.37016189401945,0.733809423310314,0.6855814851248,0,0.79268754492734,0.869190749333675,0.661991325345404,0,0.489935362802953,0.456887726984431,0.769151993944195,0,6
"RM108RX",0.576667240848163,0.769386946638378,0.787965389580539,0.731152951258899,0.584847667821042,0.404858239296191,0.827085632764784,0.467445397822459,0.697599686649466,0,0,0.427144326325108,0.794696370953556,0.392204428548663,0.894388811693048,0.91661594655142,0.763608734257113,0.709357015195404,0.632958337013139,0.646927044044115,0.508641912449637,0.655513901915821,0,0.894388811693048,0.632958337013139,0.763608734257113,0,0.502822246145097,0.634325907304608,0.515253074671398,0,6
"RM108SA",0.429498014165865,0.75069908724657,0.813593567874447,0.804550256804179,0.605307760903931,0,0.818751555659573,0.74330288461545,0.553632037088735,0,0.567621749541172,0.269142577413016,0.773349347211626,0,0.738423925006285,0.91981459646597,0.77758778951602,0.752400547597753,0.646913606850803,0.528086224889238,0.599632101086006,0.402012321155537,0.502294890586548,0.94080493007853,0.68895775407369,0.388179487137829,0,0.516683576274553,0.48970050005442,0.529457086174454,0,6
"RM108SB",0.617266867447905,0.628166807573501,0.842175760141001,0.735230946835257,0.566357577647243,0.492182229985798,0.865728269835939,0.586911479642768,0.410591842272076,0.279428888234809,0.398398906869634,0.904770909719037,0.668569706330584,0,0.957886924859061,0.929286268367683,0.780512502426345,0.738423925006285,0.684185927714699,0.699285172357028,0,0,0.618388687645272,0.960812933207764,0.684185927714699,0,0,0,0.766791826755665,0,0,4
"RM108SD",0.462571332764943,0.768041157073396,0.657151266119028,0.897903538409917,0.424420608539985,0,0.991610689663698,0.439823421068866,0,0,0,0,0,0,0,0.79268754492734,0.661991325345404,0.869190749333675,0,0.676600759079121,0,0.6855814851248,0,0.79268754492734,0.923479112156337,0,0,0,0,0.678357149877544,0,6
"RM108SE",0.79938034983445,0.770138258510295,0.880105057751825,0.610263101652695,0.316852323925062,0,0.737501738686306,0.777640478466859,0.240774547874643,0.42570534140265,0.627718343118673,0.617619142827301,0.741040272158653,0.386755061664,0.952570429384573,0.864531263414594,0.561242692526997,0.760126408472623,0.379059235340276,0.198382921455377,0.806460863620163,0.703747500186667,0.251159886403958,0.637495627555992,0,0.967423313938491,0,0.621114970504046,0.544827394635434,0.668703178868177,0.716213784220562,5
"RM108SF",0.745681563159553,0.84646476420956,0.909985126107324,0,0,0,0.898279876740151,0.569437747395204,0,0,0.697803207693119,0.5534624926826,0.558593008434308,0,0.840103429023699,0.869190749333675,0.531674104170656,0.661991325345404,0,0,0.844449833553234,0.6855814851248,0,0.531674104170656,0.869190749333675,0.834787994601473,0,0.531674104170656,0,0.946309467374,0.632958337013139,7
"RM108SH",0.525598137994659,0.534879355789408,0.839859973094316,0.844211741062431,0.813437813540521,0.442326999199176,0.899859055655341,0.778628063479797,0,0,0,0.46667561568412,0.670739734793989,0,1,0.957886924859061,0.436445624254457,0.642145488287733,0.738423925006285,0.711718302678132,0.781756464454532,0.451998429279219,0,0.903596039974303,0.801892170806658,0.436445624254457,0,0.436445624254457,0,0.6580206817881,0,6
"RM108SJ",0.507897821708503,0.713576540426771,0.803655294704221,0.790098913964062,0.708866803391506,0.587169783118382,0.841795703821742,0.761552094053895,0,0.353591787944006,0.656172615424752,0,0.55319971988802,0.732351740417967,0,0.955387241495941,0.748097580522071,0.575514757181002,0.706020124072895,0.666190771284102,0.659350120238457,0.461839115535288,0,0.706020124072895,0.878869917577301,0.748097580522071,0,0.651806114163209,0.562576901056772,0.900597439233482,0,6
